app,year,month,month_label,index_pattern,doc_count,exists
assault,2026,1,2026-01,assault-2026-01-*,0,False
brand,2026,1,2026-01,brand-2026-01-*,13252145,True
civil,2026,1,2026-01,civil-2026-01-*,34848,True
crime,2026,1,2026-01,crime-2026-01-*,5676413,True
divorce,2026,1,2026-01,divorce-2026-01-*,924791,True
drug,2026,1,2026-01,drug-2026-01-*,0,False
estate,2026,1,2026-01,estate-2026-01-*,17,True
inherit,2026,1,2026-01,inherit-2026-01-*,0,False
school,2026,1,2026-01,school-2026-01-*,5,True
traffic,2026,1,2026-01,traffic-2026-01-*,0,False
assault,2026,2,2026-02,assault-2026-02-*,143288,True
brand,2026,2,2026-02,brand-2026-02-*,1178304,True
civil,2026,2,2026-02,civil-2026-02-*,396239,True
crime,2026,2,2026-02,crime-2026-02-*,4589001,True
divorce,2026,2,2026-02,divorce-2026-02-*,1900721,True
drug,2026,2,2026-02,drug-2026-02-*,0,False
estate,2026,2,2026-02,estate-2026-02-*,109,True
inherit,2026,2,2026-02,inherit-2026-02-*,135983,True
school,2026,2,2026-02,school-2026-02-*,275,True
traffic,2026,2,2026-02,traffic-2026-02-*,0,False
assault,2026,3,2026-03,assault-2026-03-*,593867,True
brand,2026,3,2026-03,brand-2026-03-*,1582979,True
civil,2026,3,2026-03,civil-2026-03-*,653721,True
crime,2026,3,2026-03,crime-2026-03-*,4119102,True
divorce,2026,3,2026-03,divorce-2026-03-*,2051531,True
drug,2026,3,2026-03,drug-2026-03-*,9657,True
estate,2026,3,2026-03,estate-2026-03-*,234,True
inherit,2026,3,2026-03,inherit-2026-03-*,1176160,True
school,2026,3,2026-03,school-2026-03-*,7982,True
traffic,2026,3,2026-03,traffic-2026-03-*,17765,True
assault,2026,4,2026-04,assault-2026-04-*,8079293,True
brand,2026,4,2026-04,brand-2026-04-*,5251902,True
civil,2026,4,2026-04,civil-2026-04-*,4444356,True
crime,2026,4,2026-04,crime-2026-04-*,22513195,True
divorce,2026,4,2026-04,divorce-2026-04-*,13516178,True
drug,2026,4,2026-04,drug-2026-04-*,12600,True
estate,2026,4,2026-04,estate-2026-04-*,302,True
inherit,2026,4,2026-04,inherit-2026-04-*,2841308,True
school,2026,4,2026-04,school-2026-04-*,11271,True
traffic,2026,4,2026-04,traffic-2026-04-*,29119,True
assault,2026,5,2026-05,assault-2026-05-*,1765396,True
brand,2026,5,2026-05,brand-2026-05-*,2316154,True
civil,2026,5,2026-05,civil-2026-05-*,1102686,True
crime,2026,5,2026-05,crime-2026-05-*,5892213,True
divorce,2026,5,2026-05,divorce-2026-05-*,2922611,True
drug,2026,5,2026-05,drug-2026-05-*,11654,True
estate,2026,5,2026-05,estate-2026-05-*,304,True
inherit,2026,5,2026-05,inherit-2026-05-*,1229564,True
school,2026,5,2026-05,school-2026-05-*,10261,True
traffic,2026,5,2026-05,traffic-2026-05-*,28681,True
